"neo","pha","diameter","e","a","w","per_y"
Y,Y,0.548,0.4184,1.331,298.17,1.54
Y,Y,,0.6289,1.328,251.89,1.53
Y,Y,,0.2927,1.239,225.50,1.38
Y,Y,,0.7387,1.313,272.05,1.5
Y,Y,,0.5666,0.835,310.14,0.763
Y,Y,0.537,0.5802,2.299,186.97,3.49
Y,Y,,0.4803,1.978,154.96,2.78
Y,Y,,0.6220,1.577,265.74,1.98
Y,Y,,0.3022,1.454,335.92,1.75
Y,Y,,0.5245,1.941,38.35,2.7
Y,Y,,0.5657,1.03,122.27,1.05
Y,Y,,0.6692,2.068,135.65,2.97
Y,Y,,0.5376,1.854,237.74,2.53
Y,Y,1.102,0.6363,2.802,171.76,4.69
Y,Y,,0.5023,1.811,142.94,2.44
Y,Y,0.269,0.4530,1.662,279.03,2.14
Y,Y,,0.3008,1.01,123.79,1.02
Y,Y,,0.4960,1.859,216.86,2.53
Y,Y,0.227,0.3478,0.7706,7.29,0.676
Y,Y,,0.7236,1.065,229.53,1.1
Y,Y,,0.3179,1.172,120.56,1.27
Y,Y,,0.6248,2.084,90.52,3.01
Y,Y,,0.2291,1.241,21.88,1.38
Y,Y,,0.3513,1.252,310.00,1.4
Y,Y,,0.3655,1.131,272.76,1.2
Y,Y,0.150,0.5469,2.097,237.59,3.04
Y,Y,,0.6606,1.583,277.33,1.99
Y,Y,,0.6104,2.482,358.13,3.91
Y,Y,,0.4184,1.61,212.82,2.04
Y,Y,,0.5181,1.534,229.44,1.9
Y,Y,,0.4689,1.949,191.02,2.72
Y,Y,,0.3137,0.8452,162.79,0.777
Y,Y,,0.5108,0.7277,204.04,0.621
Y,Y,,0.5819,0.6715,17.81,0.55
Y,Y,,0.3658,1.323,76.79,1.52
Y,Y,0.197,0.4981,0.7122,340.73,0.601
Y,Y,0.308,0.4370,0.9042,242.31,0.86
Y,Y,,0.4233,1.008,325.18,1.01
Y,Y,,0.4866,1.401,256.81,1.66
Y,Y,,0.3952,0.9383,237.36,0.909
Y,Y,,0.3025,1.293,308.83,1.47
Y,Y,1.451,0.7321,2.865,304.52,4.85
Y,Y,,0.4937,1.17,97.52,1.27
Y,Y,,0.1327,1.078,297.03,1.12
Y,Y,,0.0645,1.085,359.87,1.13
Y,Y,,0.4985,1.47,312.89,1.78
Y,Y,,0.5803,0.9467,300.06,0.921
Y,Y,,0.5252,1.626,294.91,2.07
Y,Y,,0.3292,1.436,311.19,1.72
Y,Y,,0.5338,0.8558,153.00,0.792
Y,Y,0.321,0.2453,1.25,309.29,1.4
Y,Y,,0.3816,1.608,196.77,2.04
Y,Y,,0.5262,0.6709,356.58,0.55
Y,Y,,0.4438,0.8508,320.97,0.785
Y,Y,,0.7196,1.477,344.56,1.79
Y,Y,,0.4549,1.468,261.67,1.78
Y,Y,,0.5404,0.6769,318.99,0.557
Y,Y,0.537,0.2201,1.26,321.20,1.41
Y,Y,0.216,0.2457,1.362,144.68,1.59
Y,Y,,0.2805,0.9502,305.57,0.926
Y,Y,,0.4250,1.267,109.52,1.43
Y,Y,,0.8221,2.806,102.82,4.7
Y,Y,,0.5158,1.838,120.26,2.49
Y,Y,,0.3799,0.695,183.66,0.579
Y,Y,,0.0964,1.134,163.65,1.21
Y,Y,,0.2819,1.352,170.74,1.57
Y,Y,,0.6198,2.511,314.57,3.98
Y,Y,,0.6766,2.467,63.05,3.88
Y,Y,,0.4946,1.627,64.69,2.07
Y,Y,,0.4981,1.967,153.25,2.76
Y,Y,,0.4251,0.9592,243.89,0.94
Y,Y,,0.8298,1.586,47.17,2
Y,Y,,0.1668,1.138,307.57,1.21
Y,Y,,0.6822,1.43,302.94,1.71
Y,Y,,0.3708,1.215,260.28,1.34
Y,Y,0.202,0.4629,1.453,101.98,1.75
Y,Y,,0.3676,1.463,223.29,1.77
Y,Y,,0.4840,1.96,167.42,2.74
Y,Y,0.452,0.2349,1.187,58.33,1.29
Y,Y,,0.6239,1.487,81.07,1.81
Y,Y,,0.6213,2.747,178.29,4.55
Y,Y,,0.5756,2.328,338.78,3.55
Y,Y,,0.7276,3.027,126.46,5.27
Y,Y,,0.2358,0.9638,252.34,0.946
Y,Y,,0.7336,2.344,249.54,3.59
Y,Y,,0.2770,1.035,127.51,1.05
Y,Y,,0.4953,1.934,145.44,2.69
Y,Y,1.039,0.6886,1.451,104.01,1.75
Y,Y,,0.1291,1.061,61.10,1.09
Y,Y,,0.4092,1.213,244.79,1.34
Y,Y,0.237,0.1926,0.8555,10.59,0.791
Y,Y,,0.5718,1.929,240.91,2.68
Y,Y,,0.4500,1.193,272.66,1.3
Y,Y,,0.3340,1.428,352.86,1.71
Y,Y,,0.4108,0.8635,250.22,0.802
Y,Y,,0.5460,0.9191,311.38,0.881
Y,Y,,0.2150,1.204,297.37,1.32
Y,Y,,0.5568,2.257,32.93,3.39
Y,Y,,0.4807,1.728,38.41,2.27
Y,Y,0.3,0.4723,1.861,17.84,2.54
Y,Y,0.4,0.4602,1.862,330.93,2.54
Y,Y,,0.6466,1.819,275.46,2.45
Y,Y,,0.6939,1.314,238.02,1.51
Y,Y,,0.2639,1.26,46.33,1.41
Y,Y,0.461,0.3101,1.464,201.50,1.77
Y,Y,,0.6751,2.797,25.88,4.68
Y,Y,,0.5567,2.164,137.41,3.18
Y,Y,0.260,0.7627,1.454,124.94,1.75
Y,Y,,0.8319,3.342,95.79,6.11
Y,Y,,0.4839,1.948,162.91,2.72
Y,Y,,0.4808,1.712,220.62,2.24
Y,Y,0.380,0.2179,1.013,252.72,1.02
Y,Y,,0.5488,1.816,244.94,2.45
Y,Y,0.971,0.3038,1.299,299.65,1.48
Y,Y,0.665,0.6874,1.558,132.28,1.94
Y,Y,,0.8385,1.17,55.38,1.27
Y,Y,,0.2945,1.236,299.68,1.37
Y,Y,,0.7349,2.236,247.47,3.34
Y,Y,,0.6191,2.535,187.35,4.04
Y,Y,,0.7017,1.323,302.74,1.52
Y,Y,,0.2671,0.8797,223.14,0.825
Y,Y,,0.8110,1.895,65.18,2.61
Y,Y,,0.6521,2.401,245.80,3.72
Y,Y,,0.3742,0.7207,5.69,0.612
Y,Y,,0.4198,1.682,333.90,2.18
Y,Y,,0.6071,1.733,229.04,2.28
Y,Y,,0.5409,1.931,339.68,2.68
Y,Y,0.200,0.2104,1.225,158.32,1.36
Y,Y,,0.1508,1.148,238.89,1.23
Y,Y,1.647,0.6514,2.597,229.74,4.18
Y,Y,0.315,0.5684,1.007,143.22,1.01
Y,Y,,0.6000,0.9521,219.32,0.929
Y,Y,,0.5826,1.786,78.47,2.39
Y,Y,,0.5631,0.9509,231.46,0.927
Y,Y,,0.5277,1.181,274.54,1.28
Y,Y,,0.5234,1.728,250.28,2.27
Y,Y,,0.4039,1.559,336.47,1.95
Y,Y,,0.6036,2.264,286.54,3.41
Y,Y,,0.7150,1.242,312.93,1.38
Y,Y,,0.3491,1.034,246.25,1.05
Y,Y,,0.4601,1.543,292.96,1.92
Y,Y,,0.4773,1.023,254.01,1.03
Y,Y,,0.3180,1.371,350.17,1.61
Y,Y,,0.5825,2.064,218.17,2.96
Y,Y,,0.4544,1.844,194.41,2.5
Y,Y,,0.5724,2.191,159.72,3.24
Y,Y,0.083,0.2699,1.193,265.32,1.3
Y,Y,,0.8398,2.08,221.03,3
Y,Y,,0.3842,0.9954,255.50,0.993
Y,Y,1.851,0.7934,2.69,95.72,4.41
Y,Y,,0.5469,1.416,94.02,1.69
Y,Y,,0.5256,1.749,82.02,2.31
Y,Y,,0.6594,1.198,128.90,1.31
Y,Y,,0.6534,2.364,33.45,3.64
Y,Y,,0.8584,2.706,114.24,4.45
Y,Y,,0.4121,1.59,155.10,2.01
Y,Y,,0.7057,1.178,305.56,1.28
Y,Y,,0.4978,1.738,236.00,2.29
Y,Y,,0.5128,2.057,16.72,2.95
Y,Y,0.346,0.5029,0.8288,224.36,0.754
Y,Y,,0.4937,1.848,145.92,2.51
Y,Y,,0.4527,1.206,294.15,1.32
Y,Y,0.279,0.4831,1.877,188.66,2.57
Y,Y,,0.5500,2.122,108.37,3.09
Y,Y,,0.3714,1.492,28.10,1.82
Y,Y,,0.3584,0.7588,201.50,0.661
Y,Y,,0.2750,1.278,137.00,1.44
Y,Y,,0.3119,1.418,283.38,1.69
Y,Y,0.851,0.7185,2.7,234.69,4.44
Y,Y,,0.1370,1.206,10.99,1.32
Y,Y,,0.5975,2.245,319.40,3.36
Y,Y,,0.3123,1.253,301.12,1.4
Y,Y,,0.5067,0.9051,47.73,0.861
Y,Y,,0.5558,2.27,155.57,3.42
Y,Y,,0.4101,0.7236,355.41,0.616
Y,Y,,0.6429,2.424,118.89,3.77
Y,Y,,0.2733,1.226,113.63,1.36
Y,Y,,0.4091,1.459,71.63,1.76
Y,Y,,0.4104,0.7595,157.60,0.662
Y,Y,,0.7273,1.993,281.03,2.81
Y,Y,,0.3063,1.056,265.36,1.09
Y,Y,,0.3245,1.562,180.97,1.95
Y,Y,,0.3486,1.43,310.13,1.71
Y,Y,,0.4564,1.794,135.34,2.4
Y,Y,,0.2880,1.141,273.03,1.22
Y,Y,,0.2255,1.35,5.08,1.57
Y,Y,,0.7126,1.849,85.94,2.52
Y,Y,,0.1689,1.18,162.64,1.28
Y,Y,1.778,0.7348,2.677,309.88,4.38
Y,Y,0.363,0.5882,2.499,27.83,3.95
Y,Y,,0.2641,1.098,262.24,1.15
Y,Y,,0.8490,2.519,121.47,4
Y,Y,,0.2873,1.1,270.62,1.15
Y,Y,,0.3948,1.458,69.77,1.76
Y,Y,,0.5153,0.9175,311.96,0.879
Y,Y,,0.6481,2.114,124.25,3.07
Y,Y,,0.2974,0.9113,311.98,0.87
Y,Y,,0.5335,2.058,0.56,2.95
Y,Y,,0.1828,1.285,18.83,1.46
Y,Y,,0.2825,1.425,22.70,1.7
Y,Y,,0.3525,1.367,239.59,1.6
Y,Y,,0.8955,2.89,302.95,4.91
Y,Y,0.701,0.6585,2.385,337.62,3.68
Y,Y,,0.4010,1.587,229.74,2
Y,Y,,0.4026,1.538,41.40,1.91
Y,Y,,0.1817,1.26,188.91,1.41
Y,Y,0.654,0.7812,2.031,125.00,2.89
Y,Y,,0.7159,1.501,240.73,1.84
Y,Y,,0.2834,1.078,88.87,1.12
Y,Y,,0.4230,1.101,315.92,1.16
Y,Y,,0.4607,1.916,202.77,2.65
Y,Y,,0.3349,1.328,298.50,1.53
Y,Y,,0.5380,1.969,203.20,2.76
Y,Y,,0.4195,1.796,197.02,2.41
Y,Y,,0.7145,2.604,184.90,4.2
Y,Y,,0.7844,2.271,262.62,3.42
Y,Y,,0.6447,1.683,89.01,2.18
Y,Y,,0.6000,1.7,303.49,2.22
Y,Y,,0.1877,1.129,215.49,1.2
Y,Y,,0.3473,1.358,56.29,1.58
Y,Y,,0.5799,1.778,141.45,2.37
Y,Y,,0.4864,1.725,51.11,2.27
Y,Y,,0.6671,2.812,195.78,4.72
Y,Y,,0.6403,2.821,161.49,4.74
Y,Y,,0.3050,0.7703,338.54,0.676
Y,Y,,0.4166,1.066,255.91,1.1
Y,Y,,0.3661,1.644,191.61,2.11
Y,Y,,0.5755,1.324,84.54,1.52
Y,Y,,0.5272,2.019,189.04,2.87
Y,Y,,0.2893,1.421,347.06,1.69
Y,Y,,0.5363,1.917,124.30,2.65
Y,Y,,0.3418,1.418,281.80,1.69
Y,Y,,0.6038,2.164,122.65,3.18
Y,Y,,0.3892,1.291,87.87,1.47
Y,Y,,0.1586,1.052,273.73,1.08
Y,Y,,0.7545,1.987,298.61,2.8
Y,Y,,0.7157,1.988,275.19,2.8
Y,Y,,0.3336,0.7434,340.15,0.641
Y,Y,,0.1795,0.9586,242.93,0.939
Y,Y,,0.6404,1.895,133.20,2.61
Y,Y,,0.4703,0.8513,69.21,0.786
Y,Y,,0.4765,1.458,140.27,1.76
Y,Y,0.260,0.4101,0.8203,226.04,0.743
Y,Y,,0.2958,1.051,242.35,1.08
Y,Y,,0.5544,0.7803,324.35,0.689
Y,Y,,0.4555,1.502,247.33,1.84
Y,Y,,0.5954,2.359,336.92,3.62
Y,Y,,0.4738,1.555,79.01,1.94
Y,Y,,0.5743,1.655,295.05,2.13
Y,Y,,0.6489,2.293,321.65,3.47
Y,Y,,0.7062,2.748,235.34,4.56
Y,Y,,0.6168,2.175,73.44,3.21
Y,Y,,0.6001,1.849,68.23,2.51
Y,Y,,0.6070,1.865,267.61,2.55
Y,Y,,0.8581,1.217,218.59,1.34
Y,Y,,0.7160,2.093,260.75,3.03
Y,Y,,0.5030,2.095,199.81,3.03
Y,Y,,0.3332,1.296,111.13,1.47
Y,Y,,0.5715,1.853,79.72,2.52
Y,Y,1.374,0.8161,3.262,82.20,5.89
Y,Y,,0.6318,2.513,325.73,3.98
Y,Y,,0.6159,1.813,252.09,2.44
Y,Y,,0.4523,1.615,291.03,2.05
Y,Y,,0.5032,1.34,87.77,1.55
Y,Y,,0.5480,1.346,76.25,1.56
Y,Y,,0.5589,2.012,26.94,2.85
Y,Y,,0.6343,2.516,166.79,3.99
Y,Y,,0.2775,1.206,281.37,1.32
Y,Y,,0.3799,1.608,27.03,2.04
Y,Y,,0.4181,1.391,116.81,1.64
Y,Y,,0.5189,1.699,42.92,2.21
Y,Y,,0.4188,1.38,241.56,1.62
Y,Y,,0.6064,1.99,133.68,2.81
Y,Y,,0.5727,1.964,313.86,2.75
Y,Y,,0.5630,1.998,42.25,2.82
Y,Y,,0.8867,2.066,49.95,2.97
Y,Y,,0.4698,1.836,30.71,2.49
Y,Y,,0.7288,2.069,287.20,2.98
Y,Y,,0.5157,1.847,210.12,2.51
Y,Y,,0.7013,1.385,239.63,1.63
Y,Y,,0.6205,0.8606,63.12,0.798
Y,Y,,0.2666,1.218,115.39,1.34
Y,Y,,0.3891,1.335,225.61,1.54
Y,Y,,0.3052,1.303,119.67,1.49
Y,Y,,0.8459,2.239,234.78,3.35
Y,Y,,0.3977,1.557,216.53,1.94
Y,Y,,0.6125,2.06,75.27,2.96
Y,Y,,0.5108,1.839,343.91,2.49
Y,Y,,0.7456,1.49,90.30,1.82
Y,Y,,0.3523,1.568,357.30,1.96
Y,Y,,0.5652,2.089,229.79,3.02
Y,Y,,0.3986,1.425,326.47,1.7
Y,Y,,0.4937,1.612,299.08,2.05
Y,Y,,0.5191,0.7817,37.53,0.691
Y,Y,,0.5450,1.407,87.45,1.67
Y,Y,,0.4227,1.206,89.64,1.32
Y,Y,,0.7870,1.567,293.71,1.96
Y,Y,,0.4637,1.439,288.66,1.73
Y,Y,,0.5966,1.426,259.71,1.7
Y,Y,,0.7382,1.64,71.91,2.1
Y,Y,0.307,0.3156,0.8425,317.51,0.773
Y,Y,,0.5004,1.084,118.07,1.13
Y,Y,,0.5346,2.206,15.91,3.28
Y,Y,,0.6890,2.767,134.36,4.6
Y,Y,,0.5318,1.699,100.58,2.21
Y,Y,,0.4199,0.7324,158.12,0.627
Y,Y,,0.7198,1.491,309.41,1.82
Y,Y,,0.6066,2.002,291.23,2.83
Y,Y,,0.6693,2.685,144.70,4.4
Y,Y,0.242,0.3291,1.243,279.94,1.39
Y,Y,,0.6293,2.308,238.08,3.51
Y,Y,,0.5218,1.871,32.62,2.56
Y,Y,,0.7272,1.207,233.95,1.33
Y,Y,,0.6031,2.095,97.45,3.03
Y,Y,,0.6336,2.585,161.16,4.16
Y,Y,,0.4140,1.608,98.58,2.04
Y,Y,,0.5429,1.614,115.20,2.05
Y,Y,,0.6531,2.763,183.79,4.59
Y,Y,,0.5497,2.356,0.16,3.62
Y,Y,,0.5959,2.403,194.16,3.72
Y,Y,,0.1586,1.178,283.97,1.28
Y,Y,,0.6222,2.099,299.80,3.04
Y,Y,0.511,0.1488,1.177,215.28,1.28
Y,Y,,0.6062,2.196,216.15,3.25
Y,Y,,0.1907,1.167,154.60,1.26
Y,Y,,0.4127,0.8194,44.29,0.742
Y,Y,,0.7522,2.373,264.80,3.66
Y,Y,,0.5268,2.119,29.77,3.09
Y,Y,,0.1837,1.257,188.27,1.41
Y,Y,,0.6654,2.155,114.55,3.16
Y,Y,,0.6196,2.102,108.35,3.05
Y,Y,,0.5947,0.9828,73.83,0.974
Y,Y,,0.6141,2.508,163.17,3.97
Y,Y,,0.5635,1.825,286.17,2.47
Y,Y,,0.3883,1.375,315.97,1.61
Y,Y,,0.3169,1.467,13.29,1.78
Y,Y,,0.6650,1.35,281.92,1.57
Y,Y,,0.4408,1.191,246.44,1.3
Y,Y,,0.6940,2.727,248.43,4.5
Y,Y,,0.5355,2.262,173.27,3.4
Y,Y,,0.5756,1.606,67.66,2.03
Y,Y,,0.5536,2.351,30.98,3.6
Y,Y,,0.5314,1.249,114.61,1.4
Y,Y,,0.5272,1.601,70.49,2.02
Y,Y,,0.5610,2.009,242.07,2.85
Y,Y,,0.3649,1.146,91.33,1.23
Y,Y,,0.3833,1.513,307.47,1.86
Y,Y,,0.1221,1.198,356.65,1.31
Y,Y,,0.5042,1.866,213.42,2.55
Y,Y,,0.2461,1.225,234.00,1.36
Y,Y,,0.6491,2.535,224.28,4.04
Y,Y,,0.5037,1.558,288.24,1.94
Y,Y,,0.5782,2.336,204.83,3.57
Y,Y,,0.5503,2.33,159.61,3.56
Y,Y,1.316,0.8611,2.237,317.64,3.35
Y,Y,,0.6642,1.396,109.22,1.65
Y,Y,,0.3948,1.19,100.85,1.3
Y,Y,,0.3618,1.121,272.19,1.19
Y,Y,,0.4573,1.613,25.17,2.05
Y,Y,,0.5868,1.367,68.77,1.6
Y,Y,,0.3255,1.49,65.39,1.82
Y,Y,,0.4241,1.751,178.56,2.32
Y,Y,,0.6146,2.386,233.46,3.69
Y,Y,,0.7024,2.67,319.90,4.36
Y,Y,,0.5845,1.695,245.54,2.21
Y,Y,,0.5986,1.977,43.52,2.78
Y,Y,,0.6584,2.117,262.86,3.08
Y,Y,,0.5339,1.369,262.38,1.6
Y,Y,0.296,0.5033,1.941,166.16,2.7
Y,Y,,0.5991,2.201,323.77,3.27
Y,Y,,0.3284,1.438,145.88,1.73
Y,Y,,0.3179,1.384,160.63,1.63
Y,Y,,0.5259,1.253,95.74,1.4
Y,Y,,0.3289,1.48,5.15,1.8
Y,Y,,0.6345,2.531,328.79,4.03
Y,Y,,0.3871,1.532,150.70,1.9
Y,Y,,0.5196,2.133,189.27,3.11
Y,Y,,0.7084,2.228,75.58,3.33
Y,Y,,0.6542,1.926,89.77,2.67
Y,Y,,0.6386,2.151,99.45,3.15
Y,Y,,0.6064,2.047,246.12,2.93
Y,Y,,0.8684,0.9069,322.84,0.864
Y,Y,,0.7002,2.57,248.55,4.12
Y,Y,,0.5988,2.104,226.63,3.05
Y,Y,,0.6465,2.783,3.21,4.64
Y,Y,,0.5615,1.602,250.51,2.03
Y,Y,,0.4948,1.737,296.64,2.29
Y,Y,,0.6087,2.02,90.61,2.87
Y,Y,,0.6928,2.511,80.42,3.98
Y,Y,,0.5098,2.042,324.80,2.92
Y,Y,,0.7415,2.042,273.96,2.92
Y,Y,0.383,0.7139,2.743,268.72,4.54
Y,Y,,0.5805,1.148,241.88,1.23
Y,Y,,0.6695,2.837,22.54,4.78
Y,Y,,0.6775,2.603,115.53,4.2
Y,Y,0.150,0.5866,1.972,78.85,2.77
Y,Y,,0.6239,1.399,69.28,1.65
Y,Y,,0.4771,1.545,107.00,1.92
Y,Y,,0.6026,2.12,293.92,3.09
Y,Y,,0.4732,1.306,80.02,1.49
Y,Y,,0.7268,1.165,133.36,1.26
Y,Y,,0.6134,1.454,103.43,1.75
Y,Y,,0.4359,1.583,302.23,1.99
Y,Y,,0.6632,2.157,149.65,3.17
Y,Y,,0.5040,1.898,18.26,2.62
Y,Y,,0.9473,17.81,333.27,75.2
Y,Y,0.811,0.7028,2.384,302.91,3.68
Y,Y,,0.5933,2.464,61.87,3.87
Y,Y,0.316,0.5194,1.286,287.77,1.46
Y,Y,,0.2720,1.323,50.26,1.52
Y,Y,,0.5647,2.334,178.83,3.57
Y,Y,,0.6195,1.775,247.96,2.36
Y,Y,,0.6809,2.843,148.11,4.79
Y,Y,,0.7674,2.216,254.18,3.3
Y,Y,,0.5551,2.048,216.90,2.93
Y,Y,,0.4620,1.332,83.31,1.54
Y,Y,,0.6545,2.597,224.23,4.18
Y,Y,,0.6029,2.313,94.82,3.52
Y,Y,,0.6667,2.672,218.94,4.37
Y,Y,,0.5229,1.409,79.66,1.67
Y,Y,,0.3387,1.372,78.67,1.61
Y,Y,,0.1828,1.073,280.96,1.11
Y,Y,,0.4551,1.747,37.92,2.31
Y,Y,,0.2621,0.8784,230.21,0.823
Y,Y,,0.6616,2.523,63.26,4.01
Y,Y,,0.6835,3.219,359.14,5.77
Y,Y,,0.7752,1.663,218.63,2.15
Y,Y,,0.7656,2.598,116.05,4.19
Y,Y,,0.7196,2.256,114.55,3.39
Y,Y,,0.3434,1.021,261.26,1.03
Y,Y,,0.7713,2.403,16.73,3.72
Y,Y,,0.6222,1.863,99.65,2.54
Y,Y,,0.6298,2.403,359.53,3.73
Y,Y,,0.4361,1.705,201.06,2.23
Y,Y,,0.6501,2.338,170.87,3.58
Y,Y,,0.3757,1.421,114.34,1.69
Y,Y,,0.2545,1.11,268.30,1.17
Y,Y,,0.5974,1.68,223.89,2.18
Y,Y,,0.6649,2.36,191.18,3.63
Y,Y,,0.6474,1.771,227.40,2.36
Y,Y,,0.6429,2.218,67.08,3.3
Y,Y,,0.9002,2.392,224.38,3.7
Y,Y,,0.1321,1.041,103.86,1.06
Y,Y,,0.5615,1.932,67.67,2.69
Y,Y,,0.8000,2.461,107.20,3.86
Y,Y,,0.7211,3.633,189.84,6.92
Y,Y,,0.5569,1.006,186.81,1.01
Y,Y,,0.3854,1.146,81.74,1.23
Y,Y,,0.6225,2.493,36.27,3.94
Y,Y,,0.7186,1.946,244.42,2.72
Y,Y,,0.8638,2.341,115.49,3.58
Y,Y,,0.6572,2.471,286.04,3.88
Y,Y,,0.4371,0.7792,323.82,0.688
Y,Y,,0.6666,2.119,97.15,3.08
Y,Y,,0.7937,1.236,42.67,1.37
Y,Y,,0.4467,1.866,203.17,2.55
Y,Y,,0.5603,1.703,28.64,2.22
Y,Y,0.84,0.4448,1.832,180.55,2.48
Y,Y,,0.5074,1.647,117.38,2.11
Y,Y,,0.4991,1.86,165.75,2.54
Y,Y,,0.6885,2.397,274.44,3.71
Y,Y,,0.8896,2.1,218.13,3.04
Y,Y,,0.5896,1.914,81.09,2.65
Y,Y,,0.6954,2.123,274.02,3.09
Y,Y,,0.6826,3.227,174.50,5.8
Y,Y,,0.7646,2.069,90.63,2.98
Y,Y,,0.6301,2.775,343.79,4.62
Y,Y,,0.3945,1.157,76.10,1.24
Y,Y,,0.6599,2.941,149.88,5.04
Y,Y,,0.4654,1.955,174.18,2.73
Y,Y,,0.6687,2.518,345.41,4
Y,Y,,0.5707,1.357,230.98,1.58
Y,Y,,0.7964,2.508,237.58,3.97
Y,Y,,0.6176,1.499,67.38,1.84
Y,Y,,0.6706,2.874,27.67,4.87
Y,Y,,0.7081,2.05,269.93,2.94
Y,Y,,0.5873,2.495,208.41,3.94
Y,Y,,0.6247,2.552,34.01,4.08
Y,Y,,0.5599,2.362,23.82,3.63
Y,Y,,0.5641,1.215,356.52,1.34
Y,Y,,0.5182,1.972,140.93,2.77
Y,Y,,0.7989,2.614,96.08,4.23
Y,Y,,0.4697,1.947,317.04,2.72
Y,Y,,0.1318,1.133,350.88,1.21
Y,Y,,0.6040,1.814,299.32,2.44
Y,Y,,0.6476,2.783,184.91,4.64
Y,Y,,0.5817,2.171,126.40,3.2
Y,Y,,0.4259,0.8744,43.95,0.818
Y,Y,,0.5538,2.23,212.76,3.33
Y,Y,,0.5002,1.628,112.75,2.08
Y,Y,,0.7344,2.592,107.19,4.17
Y,Y,,0.6898,2.39,110.69,3.7
Y,Y,,0.7119,2.139,97.37,3.13
Y,Y,,0.1814,0.8724,168.70,0.815
Y,Y,,0.6089,1.545,276.94,1.92
Y,Y,,0.6022,2.152,357.51,3.16
Y,Y,,0.4957,2.053,175.67,2.94
Y,Y,,0.1263,1.042,254.50,1.06
Y,Y,,0.1813,1.081,109.70,1.12
Y,Y,,0.5975,2.25,22.99,3.38
Y,Y,,0.6413,2.776,164.12,4.62
Y,Y,,0.4716,1.884,27.59,2.59
Y,Y,,0.7427,2.537,118.36,4.04
Y,Y,,0.5717,1.931,234.93,2.68
Y,Y,,0.6472,2.349,321.08,3.6
Y,Y,,0.6042,2.428,225.13,3.78
Y,Y,,0.7014,1.642,71.24,2.11
Y,Y,,0.6041,2.603,353.83,4.2
Y,Y,,0.3409,1.441,50.39,1.73
Y,Y,,0.4949,1.943,323.34,2.71
Y,Y,,0.7842,2.438,262.01,3.81
Y,Y,,0.7811,2.27,124.67,3.42
Y,Y,,0.6279,2.638,144.53,4.29
Y,Y,,0.5575,1.936,329.39,2.69
Y,Y,,0.6783,3.2,156.06,5.73
Y,Y,,0.6424,2.654,131.48,4.32
Y,Y,,0.3128,0.9299,134.66,0.897
Y,Y,,0.6927,2.494,105.03,3.94
Y,Y,,0.4863,1.131,65.73,1.2
Y,Y,,0.8965,2.495,306.48,3.94
Y,Y,,0.7110,2.479,95.75,3.9
Y,Y,,0.5334,2.009,231.99,2.85
Y,Y,,0.7171,1.611,91.42,2.04
Y,Y,,0.5618,2.248,232.50,3.37
Y,Y,,0.5544,2.17,197.48,3.2
Y,Y,,0.6494,2.118,255.45,3.08
Y,Y,,0.7067,2.045,259.93,2.93
Y,Y,,0.8338,2.317,61.77,3.53
Y,Y,,0.6487,2.135,105.98,3.12
Y,Y,,0.3450,1.442,48.48,1.73
Y,Y,,0.5014,1.814,224.40,2.44
Y,Y,,0.2890,1.188,243.26,1.29
Y,Y,,0.6220,2.799,175.29,4.68
Y,Y,,0.0529,1.051,144.70,1.08
Y,Y,,0.7777,1.831,295.66,2.48
Y,Y,1.258,0.7183,2.763,243.79,4.59
Y,Y,,0.7176,2.733,112.44,4.52
Y,Y,,0.1675,1.242,323.55,1.38
Y,Y,,0.6551,2.11,112.79,3.06
Y,Y,,0.9027,1.286,218.61,1.46
Y,Y,,0.4414,1.865,349.62,2.55
Y,Y,,0.5951,2.349,71.89,3.6
Y,Y,,0.6227,1.677,283.52,2.17
Y,Y,,0.6055,1.674,131.88,2.17
Y,Y,,0.4250,1.628,306.86,2.08
Y,Y,,0.6072,2.562,345.98,4.1
Y,Y,,0.5291,2.196,353.34,3.26
Y,Y,,0.6951,2.757,233.99,4.58
Y,Y,,0.0937,1.103,149.91,1.16
Y,Y,,0.6572,2.651,325.52,4.32
Y,Y,,0.6460,2.632,217.70,4.27
Y,Y,,0.6510,2.82,20.48,4.74
Y,Y,,0.7303,1.084,223.17,1.13
Y,Y,,0.0967,1.035,71.02,1.05
Y,Y,,0.7035,2.422,37.33,3.77
Y,Y,,0.6472,2.262,139.49,3.4
Y,Y,,0.5679,1.934,252.35,2.69
Y,Y,,0.6395,1.301,298.98,1.48
Y,Y,,0.5729,1.968,158.48,2.76
Y,Y,,0.5686,2.384,221.96,3.68
Y,Y,,0.5304,2.118,145.17,3.08
Y,Y,,0.6148,1.552,275.86,1.93
Y,Y,,0.5513,1.766,214.87,2.35
Y,Y,,0.6743,2.046,103.57,2.93
Y,Y,,0.3743,1.33,100.13,1.53
Y,Y,,0.5446,1.946,118.56,2.72
Y,Y,,0.6873,2.334,269.68,3.57
Y,Y,,0.2774,1.116,72.52,1.18
Y,Y,,0.5796,1.883,233.98,2.58
Y,Y,,0.5754,1.03,239.13,1.05
Y,Y,,0.6466,2.047,307.03,2.93
Y,Y,,0.6177,1.331,100.50,1.54
Y,Y,,0.6031,2.372,38.33,3.65
Y,Y,,0.4285,1.567,58.43,1.96
