"neo","pha","diameter","e","a","w","per_y"
Y,Y,0.754,0.5331,0.6618,197.85,0.538
Y,Y,,0.2933,1.004,280.82,1.01
Y,Y,,0.3186,1.139,142.21,1.22
Y,Y,,0.5677,2.358,181.29,3.62
Y,Y,,0.6052,2.105,136.33,3.05
Y,Y,,0.3334,1.034,271.94,1.05
Y,Y,,0.4519,1.86,3.57,2.54
Y,Y,,0.8698,2.634,302.39,4.28
Y,Y,,0.3101,1.421,337.97,1.69
Y,Y,,0.5677,1.821,31.14,2.46
Y,Y,0.566,0.4609,1.347,42.72,1.56
Y,Y,1.263,0.5082,1.784,225.63,2.38
Y,Y,,0.5795,1.528,31.38,1.89
Y,Y,0.239,0.4275,0.9762,272.64,0.965
Y,Y,,0.8021,1.114,317.77,1.18
Y,Y,,0.7245,1.087,308.11,1.13
Y,Y,,0.6267,1.513,247.72,1.86
Y,Y,,0.5287,2.002,2.28,2.83
Y,Y,,0.5362,1.624,127.42,2.07
Y,Y,,0.8502,1.198,224.53,1.31
Y,Y,,0.6077,1.967,89.40,2.76
Y,Y,,0.7299,2.124,88.87,3.1
Y,Y,,0.1870,1.085,104.96,1.13
Y,Y,,0.5261,2.133,183.59,3.12
Y,Y,,0.5537,1.971,57.99,2.77
Y,Y,,0.2897,1.423,186.42,1.7
Y,Y,,0.5888,1.508,91.02,1.85
Y,Y,,0.6557,0.9684,43.96,0.953
Y,Y,,0.3980,1.444,80.99,1.73
Y,Y,,0.4857,1.454,68.97,1.75
Y,Y,,0.2085,0.8649,16.60,0.804
Y,Y,,0.7140,2.52,85.61,4
Y,Y,0.298,0.3660,1.129,188.15,1.2
Y,Y,,0.6396,1.448,260.10,1.74
Y,Y,,0.5730,1.346,39.22,1.56
Y,Y,0.414,0.4974,1.191,135.00,1.3
Y,Y,,0.6543,1.878,284.61,2.57
Y,Y,,0.5231,1.162,319.25,1.25
Y,Y,0.531,0.2368,1.162,240.78,1.25
Y,Y,,0.7960,1.341,233.46,1.55
Y,Y,0.510,0.7808,0.9111,213.76,0.87
Y,Y,,0.6679,2.541,142.61,4.05
Y,Y,,0.6459,2.502,218.53,3.96
Y,Y,2,0.4800,1.988,173.06,2.8
Y,Y,0.932,0.4673,1.711,44.65,2.24
Y,Y,,0.4514,1.703,197.95,2.22
Y,Y,,0.3602,1.325,80.88,1.53
Y,Y,,0.4865,1.871,217.50,2.56
Y,Y,,0.4908,1.084,258.20,1.13
Y,Y,1.060,0.6889,1.705,99.71,2.23
Y,Y,,0.5615,1.72,280.97,2.26
Y,Y,,0.4087,1.477,215.22,1.79
Y,Y,0.086,0.4021,1.105,228.88,1.16
Y,Y,,0.4825,1.569,138.69,1.97
Y,Y,2.324,0.6170,2.433,237.81,3.8
Y,Y,3.070,0.5935,2.262,140.02,3.4
Y,Y,1.9,0.2138,1.123,102.11,1.19
Y,Y,0.4,0.4624,1.678,21.62,2.17
Y,Y,,0.6604,1.802,280.25,2.42
Y,Y,,0.1871,1.246,148.67,1.39
Y,Y,0.538,0.5585,1.916,331.45,2.65
Y,Y,,0.5710,1.088,278.86,1.13
Y,Y,,0.1948,1.206,29.92,1.32
Y,Y,0.896,0.1911,1.191,211.62,1.3
Y,Y,,0.5349,2.073,123.18,2.98
Y,Y,,0.4111,0.8758,201.28,0.82
Y,Y,,0.4781,1.854,19.25,2.52
Y,Y,,0.1238,0.9466,46.07,0.921
Y,Y,,0.5311,1.207,314.52,1.33
Y,Y,,0.3573,1.241,285.25,1.38
Y,Y,1.406,0.3023,1.376,220.72,1.61
Y,Y,0.335,0.2501,1.247,133.32,1.39
Y,Y,,0.5438,1.875,40.99,2.57
Y,Y,,0.6356,2.123,152.13,3.09
Y,Y,,0.2323,1.314,339.15,1.51
Y,Y,,0.7443,1.773,79.17,2.36
Y,Y,,0.5752,1.092,46.02,1.14
Y,Y,,0.3818,1.319,291.32,1.51
Y,Y,,0.5437,2.038,326.12,2.91
Y,Y,0.875,0.4745,1.926,186.47,2.67
Y,Y,,0.4457,1.787,27.70,2.39
Y,Y,,0.3651,1.297,294.50,1.48
Y,Y,,0.5665,2.275,322.39,3.43
Y,Y,,0.5859,2.046,117.83,2.93
Y,Y,0.460,0.2952,1.22,110.52,1.35
Y,Y,1.682,0.6016,0.7616,148.33,0.665
Y,Y,,0.3348,1.344,135.13,1.56
Y,Y,0.735,0.4346,0.8758,222.21,0.82
Y,Y,,0.3689,1.365,275.33,1.6
Y,Y,,0.5463,1.469,260.20,1.78
Y,Y,,0.6882,1.577,281.41,1.98
Y,Y,,0.4731,1.609,353.83,2.04
Y,Y,0.386,0.3546,1.229,245.91,1.36
